Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,ATC LEVEL,Is Drug Class,Semantic type UMLS property
ATC/G02CX02,flibanserin,,,false,C0754280,STY/T109|STY/T121,ATC/G02CX,5,,STY/T109|STY/T121
ATC/C01CA01,etilefrine,,,false,C0015116,STY/T109|STY/T121,ATC/C01CA,5,,STY/T109|STY/T121
ATC/V09HA04,technetium (<o>99m</o>Tc) sulesomab,,,false,C3652619,STY/T130|STY/T109,ATC/V09HA,5,,STY/T130|STY/T109
ATC/V03AF09,glucarpidase,,,false,C0007072,STY/T126|STY/T116|STY/T121,ATC/V03AF,5,,STY/T126|STY/T116|STY/T121
ATC/M01AX24,oxaceprol,,,false,C0064164,STY/T123|STY/T116|STY/T121,ATC/M01AX,5,,STY/T123|STY/T116|STY/T121
ATC/S01AX06,resorcinol,,,false,C0073085,STY/T109|STY/T121,ATC/S01AX,5,,STY/T109|STY/T121
ATC/B01AC08,carbasalate calcium,,,false,C0054547,STY/T109|STY/T121,ATC/B01AC,5,,STY/T109|STY/T121
ATC/J05AP03,boceprevir,,,false,C1738934,STY/T116|STY/T121,ATC/J05AP,5,,STY/T116|STY/T121
ATC/N07CA03,flunarizine,,,false,C0016295,STY/T109|STY/T121,ATC/N07CA,5,,STY/T109|STY/T121
ATC/C10AB03,aluminium clofibrate,,,false,C0051149,STY/T109|STY/T121,ATC/C10AB,5,,STY/T109|STY/T121
ATC/N02AA79,"codeine, combinations with psycholeptics",,,false,C3653259,STY/T109|STY/T121,ATC/N02AA,5,,STY/T109|STY/T121
ATC/C10AX12,lomitapide,,,false,C2827241,STY/T109|STY/T121,ATC/C10AX,5,,STY/T109|STY/T121
ATC/J05AR17,emtricitabine and tenofovir alafenamide,,,false,C4059167,STY/T121,ATC/J05AR,5,,STY/T121
ATC/J04AK08,pretomanid,,,false,C4310440,STY/T195|STY/T109,ATC/J04AK,5,,STY/T195|STY/T109
ATC/S01CB03,hydrocortisone,,,false,C0020268,STY/T125|STY/T109|STY/T121,ATC/S01CB,5,,STY/T125|STY/T109|STY/T121
ATC/N05BD01,benzoctamine,,,false,C0053217,STY/T109|STY/T121,ATC/N05BD,5,,STY/T109|STY/T121
ATC/R03DA05,aminophylline,,,false,C0002575,STY/T109|STY/T121,ATC/R03DA,5,,STY/T109|STY/T121
ATC/B03BA51,"cyanocobalamin, combinations",,,false,C3653121,STY/T127|STY/T109|STY/T121,ATC/B03BA,5,,STY/T127|STY/T109|STY/T121
ATC/C07AG,Alpha and beta blocking agents,,,false,C3653633,STY/T121,ATC/C07A,4,Y,STY/T121
ATC/N01AH03,sufentanil,,,false,C0143993,STY/T109|STY/T121,ATC/N01AH,5,,STY/T109|STY/T121
ATC/N02AJ17,oxycodone and paracetamol,,,false,C4301625,STY/T121,ATC/N02AJ,5,,STY/T121
ATC/N02BE05,propacetamol,,,false,C0084186,STY/T109|STY/T121,ATC/N02BE,5,,STY/T109|STY/T121
ATC/L01EX12,larotrectinib,,,false,C4524315,STY/T109|STY/T121,ATC/L01EX,5,,STY/T109|STY/T121
ATC/D01AA20,topical antibiotic combinations,combinations,,false,C3539954,STY/T121,ATC/D01AA,5,,STY/T121
ATC/J01AA02,doxycycline,,,false,C0013090,STY/T195|STY/T109,ATC/J01AA,5,,STY/T195|STY/T109
ATC/V10AA01,yttrium (<o>90</o>Y) citrate colloid,,,false,C3652527,STY/T109|STY/T121,ATC/V10AA,5,,STY/T109|STY/T121
ATC/N06AX15,pivagabine,,,false,C0619323,STY/T116|STY/T121,ATC/N06AX,5,,STY/T116|STY/T121
ATC/N05CB02,barbiturates in combination with other drugs,,,false,C3541358,STY/T109|STY/T121,ATC/N05CB,5,,STY/T109|STY/T121
ATC/H02AB12,rimexolone,,,false,C0140594,STY/T109|STY/T121,ATC/H02AB,5,,STY/T109|STY/T121
ATC/S01BA11,desonide,,,false,C0011705,STY/T109|STY/T121,ATC/S01BA,5,,STY/T109|STY/T121
ATC/H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",,,false,C3653821,STY/T125|STY/T121,http://www.w3.org/2002/07/owl#Thing,1,Y,STY/T125|STY/T121
STY/T057,Occupational Activity,,,false,,,STY/T052,,,
ATC/N02AX03,dezocine,,,false,C0057626,STY/T109|STY/T121,ATC/N02AX,5,,STY/T109|STY/T121
ATC/L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,,,false,C3653597,STY/T195,ATC/L01,3,Y,STY/T195
ATC/C03BC01,mersalyl,,,false,C0025446,STY/T109|STY/T131,ATC/C03BC,5,,STY/T109|STY/T131
ATC/J05AF08,adefovir dipivoxil,,,false,C0540694,STY/T109|STY/T121,ATC/J05AF,5,,STY/T109|STY/T121
ATC/C01EB17,ivabradine,,,false,C0257190,STY/T109|STY/T121,ATC/C01EB,5,,STY/T109|STY/T121
ATC/A07AX04,nifurzide,,,false,C0068746,STY/T109|STY/T121,ATC/A07AX,5,,STY/T109|STY/T121
ATC/D03AX02,dextranomer,,,false,C0057621,STY/T109|STY/T121,ATC/D03AX,5,,STY/T109|STY/T121
ATC/N07XX06,tetrabenazine,,,false,C0039623,STY/T109|STY/T121,ATC/N07XX,5,,STY/T109|STY/T121
ATC/J06BB01,anti-D (rh) immunoglobulin,,,false,C0073188,STY/T116|STY/T129|STY/T121,ATC/J06BB,5,,STY/T116|STY/T129|STY/T121
ATC/R03BA02,budesonide,,,false,C0054201,STY/T109|STY/T121,ATC/R03BA,5,,STY/T109|STY/T121
ATC/G03EA02,testosterone and estrogen,,,false,C2194257,STY/T121,ATC/G03EA,5,,STY/T121
ATC/N02AC03,piritramide,,,false,C0031982,STY/T109|STY/T121,ATC/N02AC,5,,STY/T109|STY/T121
ATC/J07BB01,"influenza, inactivated, whole virus",,,false,C3652557,STY/T116|STY/T129|STY/T121,ATC/J07BB,5,,STY/T116|STY/T129|STY/T121
ATC/V06DE,"Amino acids/carbohydrates/minerals/vitamins, combinations",,,false,C3653705,STY/T121,ATC/V06D,4,Y,STY/T121
ATC/G03GA03,serum gonadotrophin,,,false,C0857937,STY/T125|STY/T121,ATC/G03GA,5,,STY/T125|STY/T121
ATC/C02KX,Antihypertensives for pulmonary arterial hypertension,,,false,C3871469,STY/T121,ATC/C02K,4,Y,STY/T121
ATC/N04AB01,etanautine,,,false,C3652696,STY/T109|STY/T121,ATC/N04AB,5,,STY/T109|STY/T121
ATC/S01EB07,fluostigmine,,,false,C0022181,STY/T109|STY/T131|STY/T121,ATC/S01EB,5,,STY/T109|STY/T131|STY/T121
STY/T047,Disease or Syndrome,,,false,,,STY/T046,,,
ATC/P01CA,"Nitroimidazole derivatives, antiprotozoal agents against leishmaniasis and trypanosomiasis",Nitroimidazole derivatives,,false,C3542963,STY/T109|STY/T121,ATC/P01C,4,Y,STY/T109|STY/T121
ATC/C02CC,"Guanine derivatives, peripherally acting antiadrenergic agents",Guanidine derivatives,,false,C3541392,STY/T114|STY/T121,ATC/C02C,4,Y,STY/T114|STY/T121
ATC/J05AX27,favipiravir,,,false,C1138226,STY/T109|STY/T121,ATC/J05AX,5,,STY/T109|STY/T121
ATC/H01AC,Somatropin and somatropin agonists,,,false,C3653366,STY/T125|STY/T109|STY/T121,ATC/H01A,4,Y,STY/T125|STY/T109|STY/T121
ATC/N05AA01,chlorpromazine,,,false,C0008286,STY/T109|STY/T121,ATC/N05AA,5,,STY/T109|STY/T121
ATC/R05DA10,thebacon,,,false,C2984006,STY/T109|STY/T121,ATC/R05DA,5,,STY/T109|STY/T121
ATC/R06AX02,cyproheptadine,,,false,C0010620,STY/T109|STY/T121,ATC/R06AX,5,,STY/T109|STY/T121
ATC/B06AA07,trypsin,,,false,C0041236,STY/T126|STY/T116|STY/T121,ATC/B06AA,5,,STY/T126|STY/T116|STY/T121
ATC/J01XB02,polymyxin B,,,false,C0032535,STY/T116|STY/T195,ATC/J01XB,5,,STY/T116|STY/T195
ATC/N02BA14,guacetisal,,,false,C0120436,STY/T109|STY/T121,ATC/N02BA,5,,STY/T109|STY/T121
ATC/V09IX08,fluoroethylcholine (<o>18</o>F),,,false,C2348690,STY/T196|STY/T130,ATC/V09IX,5,,STY/T196|STY/T130
ATC/D01AE11,haloprogin,,,false,C0062106,STY/T109|STY/T121,ATC/D01AE,5,,STY/T109|STY/T121
ATC/A11DA,"Vitamin B<n>1</n>, plain",,,false,C3653771,STY/T127|STY/T109|STY/T121,ATC/A11D,4,Y,STY/T127|STY/T109|STY/T121
ATC/S01AB03,sulfadicramide,,,false,C3652541,STY/T109|STY/T121,ATC/S01AB,5,,STY/T109|STY/T121
ATC/A05BA05,epomediol,,,false,C0059459,STY/T109|STY/T121,ATC/A05BA,5,,STY/T109|STY/T121
ATC/A07BA01,medicinal charcoal,,,false,C0001275,STY/T109|STY/T121,ATC/A07BA,5,,STY/T109|STY/T121
ATC/C02AA52,"reserpine, combinations",,,false,C3652842,STY/T121,ATC/C02AA,5,,STY/T121
ATC/M02AB,Capsaicin and similar agents,,,false,C3653599,STY/T109|STY/T121,ATC/M02A,4,Y,STY/T109|STY/T121
STY/T167,Substance,,,false,,,STY/T072,,,
ATC/J04AK02,ethambutol,,,false,C0014964,STY/T109|STY/T121,ATC/J04AK,5,,STY/T109|STY/T121
ATC/N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",,,false,C3653564,STY/T121,ATC/N06,3,Y,STY/T121
ATC/C08DA01,verapamil,,,false,C0042523,STY/T109|STY/T121,ATC/C08DA,5,,STY/T109|STY/T121
ATC/D05,ANTIPSORIATICS,,,false,C1874314,STY/T121,ATC/D,2,Y,STY/T121
ATC/N05CM16,niaprazine,,,false,C0068673,STY/T109|STY/T121,ATC/N05CM,5,,STY/T109|STY/T121
ATC/C07FB13,metoprolol and amlodipine,,,false,C4301622,STY/T121,ATC/C07FB,5,,STY/T121
ATC/J05AR11,"lamivudine, tenofovir disoproxil and efavirenz",,,false,C2929688,STY/T121,ATC/J05AR,5,,STY/T121
ATC/A02BC53,"lansoprazole, combinations",,,false,C3871443,STY/T121,ATC/A02BC,5,,STY/T121
ATC/R05DB14,fedrilate,,,false,C0771169,STY/T109|STY/T121,ATC/R05DB,5,,STY/T109|STY/T121
ATC/M01AB,Acetic acid derivatives and related substances,,,false,C3653634,STY/T109|STY/T121,ATC/M01A,4,Y,STY/T109|STY/T121
ATC/B02,ANTIHEMORRHAGICS,,,false,C0085824,STY/T121,ATC/B,2,Y,STY/T121
ATC/S01GX51,"cromoglicic acid, combinations",,,false,C3653122,STY/T109|STY/T121,ATC/S01GX,5,,STY/T109|STY/T121
ATC/J01XA04,dalbavancin,,,false,C1172636,STY/T116|STY/T195,ATC/J01XA,5,,STY/T116|STY/T195
ATC/N05AX14,iloperidone,,,false,C0247194,STY/T109|STY/T121,ATC/N05AX,5,,STY/T109|STY/T121
ATC/J05AE05,amprenavir,,,false,C0754188,STY/T109|STY/T121,ATC/J05AE,5,,STY/T109|STY/T121
ATC/D03AA,Cod-liver oil ointments,,,false,C3653475,STY/T121,ATC/D03A,4,Y,STY/T121
ATC/A12BA30,potassium (different salts in combination),,,false,C3540740,STY/T121,ATC/A12BA,5,,STY/T121
ATC/A16AB,Enzymes for ALIMENTARY TRACT AND METABOLISM,Enzymes,,false,C3542456,STY/T126|STY/T116|STY/T121,ATC/A16A,4,Y,STY/T126|STY/T116|STY/T121
ATC/C07D,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS",,,false,C3653603,STY/T121,ATC/C07,3,Y,STY/T121
ATC/L01XX57,plitidepsin,,,false,C0388638,STY/T116|STY/T121,ATC/L01XX,5,,STY/T116|STY/T121
ATC/A03AC04,nicofetamide,,,false,C3652677,STY/T109|STY/T121,ATC/A03AC,5,,STY/T109|STY/T121
ATC/C04,PERIPHERAL VASODILATORS,,,false,C0724804,STY/T121,ATC/C,2,Y,STY/T121
ATC/J01DB06,cefazedone,,,false,C0054999,STY/T195|STY/T109,ATC/J01DB,5,,STY/T195|STY/T109
ATC/N05CD06,lormetazepam,,,false,C0065185,STY/T109|STY/T121,ATC/N05CD,5,,STY/T109|STY/T121
ATC/D07BC02,fluocinolone acetonide and antiseptics,,,false,C3652971,STY/T109|STY/T121,ATC/D07BC,5,,STY/T109|STY/T121
ATC/N02AE01,buprenorphine,,,false,C0006405,STY/T109|STY/T121,ATC/N02AE,5,,STY/T109|STY/T121
ATC/C02AA,"Rauwolfia alkaloids, centrally acting antiadrenergic",Rauwolfia alkaloids,,false,C3541373,STY/T123|STY/T109|STY/T121,ATC/C02A,4,Y,STY/T123|STY/T109|STY/T121
ATC/N02CA02,ergotamine,,,false,C0014710,STY/T109|STY/T121,ATC/N02CA,5,,STY/T109|STY/T121
ATC/V08AB09,iodixanol,,,false,C0063757,STY/T130|STY/T109,ATC/V08AB,5,,STY/T130|STY/T109
ATC/N07A,PARASYMPATHOMIMETICS,,,false,C0030512,STY/T121,ATC/N07,3,Y,STY/T121
ATC/A06AG06,oil ingredients,oil,,false,C3541397,STY/T109|STY/T121,ATC/A06AG,5,,STY/T109|STY/T121
ATC/C01DA04,methylpropylpropanediol dinitrate,,,false,C3652679,STY/T109|STY/T121,ATC/C01DA,5,,STY/T109|STY/T121
ATC/N05BX02,gedocarnil,,,false,C2348738,STY/T109|STY/T121,ATC/N05BX,5,,STY/T109|STY/T121
ATC/J04BA01,clofazimine,,,false,C0008996,STY/T130|STY/T109|STY/T121,ATC/J04BA,5,,STY/T130|STY/T109|STY/T121
ATC/D01AC12,fenticonazole,,,false,C0060203,STY/T109|STY/T121,ATC/D01AC,5,,STY/T109|STY/T121
ATC/R03DA20,combinations of xanthines,,,false,C3653128,STY/T195|STY/T109,ATC/R03DA,5,,STY/T195|STY/T109
ATC/A06AA02,docusate sodium,,,false,C0243237,STY/T109|STY/T121,ATC/A06AA,5,,STY/T109|STY/T121
ATC/A16AA07,metreleptin,,,false,C0961965,STY/T116|STY/T121,ATC/A16AA,5,,STY/T116|STY/T121
ATC/A09AA04,tilactase,,,false,C0083183,STY/T126|STY/T116|STY/T121,ATC/A09AA,5,,STY/T126|STY/T116|STY/T121
ATC/H01BA01,vasopressin (argipressin),,,false,C0003779,STY/T116|STY/T125|STY/T121,ATC/H01BA,5,,STY/T116|STY/T125|STY/T121
ATC/L01XC,"Monoclonal antibodies, antineoplastic",Monoclonal antibodies,,false,C3542957,STY/T116|STY/T129|STY/T121,ATC/L01X,4,Y,STY/T116|STY/T129|STY/T121
ATC/R06AB51,"brompheniramine, combinations",,,false,C3653166,STY/T109|STY/T121,ATC/R06AB,5,,STY/T109|STY/T121
ATC/A07AA08,kanamycin,,,false,C0022487,STY/T195|STY/T109,ATC/A07AA,5,,STY/T195|STY/T109
ATC/G04CA52,tamsulosin and dutasteride,,,false,C2926870,STY/T121,ATC/G04CA,5,,STY/T121
ATC/J01XX,Other antibacterials in ATC,Other antibacterials,,false,C3653918,STY/T121,ATC/J01X,4,Y,STY/T121
ATC/D06BX01,metronidazole,,,false,C0025872,STY/T109|STY/T121,ATC/D06BX,5,,STY/T109|STY/T121
ATC/D07AB10,alclometasone,,,false,C0360534,STY/T109|STY/T121,ATC/D07AB,5,,STY/T109|STY/T121
ATC/P03AA05,thiram,,,false,C0039962,STY/T109|STY/T131,ATC/P03AA,5,,STY/T109|STY/T131
ATC/C01CA21,cafedrine,,,false,C0068978,STY/T109|STY/T121,ATC/C01CA,5,,STY/T109|STY/T121
ATC/C08GA01,nifedipine and diuretics,,,false,C3653027,STY/T109|STY/T121,ATC/C08GA,5,,STY/T109|STY/T121
ATC/J07AC01,anthrax antigen,,,false,C0882692,STY/T116|STY/T129|STY/T121,ATC/J07AC,5,,STY/T116|STY/T129|STY/T121
ATC/D03AX13,Betulae cortex,,,false,C4301604,STY/T121,ATC/D03AX,5,,STY/T121
ATC/A03AX09,trepibutone,,,false,C0094813,STY/T109|STY/T121,ATC/A03AX,5,,STY/T109|STY/T121
ATC/V01A,ALLERGENS,,,false,C0002092,STY/T129,ATC/V01,3,Y,STY/T129
ATC/M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,,,false,C3653753,STY/T121,ATC/M,2,Y,STY/T121
ATC/S01AA13,fusidic acid,,,false,C0016875,STY/T195|STY/T109,ATC/S01AA,5,,STY/T195|STY/T109
ATC/N03AX24,cannabidiol,,,false,C0006863,STY/T109|STY/T121,ATC/N03AX,5,,STY/T109|STY/T121
ATC/A12,MINERAL SUPPLEMENTS,,,false,C0556112,STY/T121,ATC/A,2,Y,STY/T121
ATC/S01K,"SURGICAL AIDS, OPHTHALMOLOGIC",SURGICAL AIDS,,false,C3653358,STY/T121,ATC/S01,3,Y,STY/T121
ATC/J05AX05,inosine pranobex,,,false,C0022230,STY/T114|STY/T121,ATC/J05AX,5,,STY/T114|STY/T121
ATC/G,GENITO URINARY SYSTEM AND SEX HORMONES,,,false,C3653431,STY/T125|STY/T121,http://www.w3.org/2002/07/owl#Thing,1,Y,STY/T125|STY/T121
ATC/S01LA05,aflibercept,,,false,C1134659,STY/T116|STY/T129|STY/T121,ATC/S01LA,5,,STY/T116|STY/T129|STY/T121
STY/T066,Machine Activity,,,false,,,STY/T052,,,
ATC/C05BA51,"heparinoid, combinations",,,false,C3653126,STY/T109|STY/T121,ATC/C05BA,5,,STY/T109|STY/T121
ATC/C03BD,"Xanthine derivatives, low-ceiling diuretics",Xanthine derivatives,,false,C3541954,STY/T121,ATC/C03B,4,Y,STY/T121
ATC/G01AX,Other gynecological antiinfectives and antiseptics in ATC,Other antiinfectives and antiseptics,,false,C3654012,STY/T121,ATC/G01A,4,Y,STY/T121
ATC/P02DA,Salicylic acid derivative anticestodals,Salicylic acid derivatives,,false,C3654003,STY/T109|STY/T121,ATC/P02D,4,Y,STY/T109|STY/T121
ATC/L01EE01,trametinib,,,false,C2697961,STY/T109|STY/T121,ATC/L01EE,5,,STY/T109|STY/T121
ATC/D08AJ01,benzalkonium,,,false,C0005025,STY/T109|STY/T121,ATC/D08AJ,5,,STY/T109|STY/T121
STY/T184,Sign or Symptom,,,false,,,STY/T033,,,
ATC/G02AX,Other uterotonics in ATC,Other uterotonics,,false,C3653843,STY/T121,ATC/G02A,4,Y,STY/T121
ATC/D06BB03,aciclovir,,,false,C0001367,STY/T114|STY/T121,ATC/D06BB,5,,STY/T114|STY/T121
ATC/S01BC06,piroxicam,,,false,C0031990,STY/T109|STY/T121,ATC/S01BC,5,,STY/T109|STY/T121
ATC/R05CB10,"expectorant combinations, excl. combinations with cough suppressants",combinations,,false,C3540724,STY/T121,ATC/R05CB,5,,STY/T121
ATC/C09BB,ACE inhibitors and calcium channel blockers,,,false,C3653808,STY/T121,ATC/C09B,4,Y,STY/T121
ATC/R01AX01,calcium hexamine thiocyanate,,,false,C3652641,STY/T109|STY/T121,ATC/R01AX,5,,STY/T109|STY/T121
ATC/R01AD52,"prednisolone, combinations",,,false,C3653107,STY/T109|STY/T121,ATC/R01AD,5,,STY/T109|STY/T121
ATC/J07BK01,"varicella, live attenuated",,,false,C3464497,STY/T116|STY/T129|STY/T121,ATC/J07BK,5,,STY/T116|STY/T129|STY/T121
STY/T103,Chemical,,,false,,,STY/T167,,,
ATC/R01AD11,triamcinolone,,,false,C0040864,STY/T109|STY/T121,ATC/R01AD,5,,STY/T109|STY/T121
ATC/J01EA,"Trimethoprim and derivatives, systemic antibacterials",Trimethoprim and derivatives,,false,C3542958,STY/T109|STY/T121,ATC/J01E,4,Y,STY/T109|STY/T121
ATC/C01CA27,droxidopa,,,false,C0000378,STY/T123|STY/T121,ATC/C01CA,5,,STY/T123|STY/T121
ATC/A01AC03,hydrocortisone,,,false,C0020268,STY/T125|STY/T109|STY/T121,ATC/A01AC,5,,STY/T125|STY/T109|STY/T121
ATC/N02AA10,papaveretum,,,false,C0030349,STY/T109|STY/T121,ATC/N02AA,5,,STY/T109|STY/T121
ATC/R06AX13,loratadine,,,false,C0065180,STY/T109|STY/T121,ATC/R06AX,5,,STY/T109|STY/T121
ATC/A05AA01,chenodeoxycholic acid,,,false,C0008024,STY/T123|STY/T109|STY/T121,ATC/A05AA,5,,STY/T123|STY/T109|STY/T121
ATC/A08AA03,amfepramone,,,false,C0012201,STY/T109|STY/T121,ATC/A08AA,5,,STY/T109|STY/T121
ATC/N04BX01,tolcapone,,,false,C0246330,STY/T109|STY/T121,ATC/N04BX,5,,STY/T109|STY/T121
ATC/S01AE04,lomefloxacin,,,false,C0065162,STY/T109|STY/T121,ATC/S01AE,5,,STY/T109|STY/T121
ATC/C09AA07,benazepril,,,false,C0053091,STY/T109|STY/T121,ATC/C09AA,5,,STY/T109|STY/T121
ATC/R07AB52,"nikethamide, combinations",,,false,C3652826,STY/T121,ATC/R07AB,5,,STY/T121
ATC/R01AC01,cromoglicic acid,,,false,C0086073,STY/T109|STY/T121,ATC/R01AC,5,,STY/T109|STY/T121
ATC/N06DA02,donepezil,,,false,C0527316,STY/T109|STY/T121,ATC/N06DA,5,,STY/T109|STY/T121
ATC/B02BD10,von Willebrand factor,,,false,C0042971,STY/T123|STY/T116|STY/T121,ATC/B02BD,5,,STY/T123|STY/T116|STY/T121
ATC/S01XA01,guaiazulen,,,false,C3652630,STY/T109|STY/T121,ATC/S01XA,5,,STY/T109|STY/T121
ATC/N06BX17,adrafinil,,,false,C0101700,STY/T109|STY/T121,ATC/N06BX,5,,STY/T109|STY/T121
ATC/N05CA19,thiopental,,,false,C0039925,STY/T109|STY/T121,ATC/N05CA,5,,STY/T109|STY/T121
ATC/V09GA03,technetium (<o>99m</o>Tc) teboroxime,,,false,C0076030,STY/T130|STY/T197,ATC/V09GA,5,,STY/T130|STY/T197
ATC/S01GA55,"phenylephrine, combinations",,,false,C3652906,STY/T109|STY/T121,ATC/S01GA,5,,STY/T109|STY/T121
ATC/A07EA06,budesonide,,,false,C0054201,STY/T109|STY/T121,ATC/A07EA,5,,STY/T109|STY/T121
ATC/G01AC,Quinoline gynecological antiinfectives,Quinoline derivatives,,false,C3540797,STY/T109|STY/T121,ATC/G01A,4,Y,STY/T109|STY/T121
ATC/S02AA14,gentamicin,,,false,C3854019,STY/T195|STY/T109,ATC/S02AA,5,,STY/T195|STY/T109
ATC/A10BD21,saxagliptin and dapagliflozin,,,false,C4059158,STY/T121,ATC/A10BD,5,,STY/T121
ATC/R01AD58,"fluticasone, combinations",,,false,C3652868,STY/T121,ATC/R01AD,5,,STY/T121
ATC/V09IA01,technetium (<o>99m</o>Tc) antiCarcinoEmbryonicAntigen antibody,,,false,C3652582,STY/T116|STY/T130|STY/T129,ATC/V09IA,5,,STY/T116|STY/T130|STY/T129
ATC/C05,VASOPROTECTIVES,,,false,C0304533,STY/T121,ATC/C,2,Y,STY/T121
ATC/A10BD,Combinations of oral blood glucose lowering drugs,,,false,C3653313,STY/T121,ATC/A10B,4,Y,STY/T121
ATC/G03XB51,"mifepristone, combinations",,,false,C3871440,STY/T121,ATC/G03XB,5,,STY/T121
ATC/A02AF,Antacids with antiflatulents,,,false,C3653792,STY/T121,ATC/A02A,4,Y,STY/T121
ATC/A03AX04,pinaverium,,,false,C0071081,STY/T109|STY/T121,ATC/A03AX,5,,STY/T109|STY/T121
ATC/J01DD62,cefoperazone and beta-lactamase inhibitor,,,false,C4542191,STY/T121,ATC/J01DD,5,,STY/T121
ATC/L01AB,Alkyl sulfonate alkylating agents,Alkyl sulfonates,,false,C3539102,STY/T121,ATC/L01A,4,Y,STY/T121
ATC/M01CC01,penicillamine,,,false,C0030817,STY/T116|STY/T121,ATC/M01CC,5,,STY/T116|STY/T121
ATC/C02LC,Imidazoline receptor agonists in combination with diuretics,,,false,C3653651,STY/T121,ATC/C02L,4,Y,STY/T121
ATC/A03AB09,isopropamide,,,false,C0301373,STY/T109|STY/T121,ATC/A03AB,5,,STY/T109|STY/T121
ATC/A12AA06,calcium lactate gluconate,,,false,C0771535,STY/T109|STY/T121,ATC/A12AA,5,,STY/T109|STY/T121
ATC/R03DB02,choline theophyllinate and adrenergics,,,false,C3652797,STY/T121,ATC/R03DB,5,,STY/T121
ATC/D08,ANTISEPTICS AND DISINFECTANTS,,,false,C3653284,STY/T121,ATC/D,2,Y,STY/T121
ATC/N02BA04,sodium salicylate,,,false,C0037549,STY/T109|STY/T121,ATC/N02BA,5,,STY/T109|STY/T121
ATC/R03BB01,ipratropium bromide,,,false,C0700580,STY/T109|STY/T121,ATC/R03BB,5,,STY/T109|STY/T121
ATC/N06AX04,nomifensine,,,false,C0028277,STY/T109|STY/T121,ATC/N06AX,5,,STY/T109|STY/T121
ATC/N02CC05,almotriptan,,,false,C0914729,STY/T109|STY/T121,ATC/N02CC,5,,STY/T109|STY/T121
ATC/J01DD09,cefodizime,,,false,C0055007,STY/T195|STY/T109,ATC/J01DD,5,,STY/T195|STY/T109
STY/T026,Cell Component,,,false,,,STY/T021,,,
ATC/L01EX01,sunitinib,,,false,C1176020,STY/T109|STY/T121,ATC/L01EX,5,,STY/T109|STY/T121
ATC/M04AB,Preparations increasing uric acid excretion,,,false,C3653818,STY/T121,ATC/M04A,4,Y,STY/T121
ATC/V07AC,"Blood transfusion, auxiliary products",,,false,C3653510,STY/T130,ATC/V07A,4,Y,STY/T130
ATC/M03BB03,chlorzoxazone,,,false,C0008296,STY/T109|STY/T121,ATC/M03BB,5,,STY/T109|STY/T121
ATC/J05AF01,zidovudine,,,false,C0043474,STY/T114|STY/T121,ATC/J05AF,5,,STY/T114|STY/T121
